"crash_record_id","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"e6d41fc469d01a3e25327e52ab73c9a6db757324f9e23726ac8af9ad5780be9cc4578cc714830f96de846d01c181f5cad75bb8217f058a76b6abbaef3256a350",,"2024-05-11T01:00:00.000","30","UNKNOWN","UNKNOWN","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-11T01:07:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","6700","S","STATE ST","322",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","1","7","5","41.772634626","-87.62527215","POINT (-87.62527215003 41.77263462564)"
"c6e9fa7bd2e7a56aef25d3394d8e87fd8f073dd6c55860ec683409e95b76277fa54d271c5f85a833fff998de423fa83abe5dfb744180281221e9e318e5942fe2",,"2024-05-11T00:17:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","ANGLE","FOUR WAY",,"STRAIGHT AND LEVEL","WET","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"N","OVER $1,500","2024-05-11T00:17:00.000","DISREGARDING TRAFFIC SIGNALS","NOT APPLICABLE","3600","N","CLARK ST","1923",,,,,,,"3","NO INDICATION OF INJURY","0","0","0","0","0","6","0","0","7","5","41.947202225","-87.656687756","POINT (-87.656687755593 41.947202225469)"
"114456b9bd0c67efc339b03546f3f11cca918a742e9a41190ccfcd32597a78f402faee2b7ca147b6fc3da2270c10d4df01232c286ee827858cdf99fdd9ffb57c",,"2024-05-11T00:04:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","REAR END","FIVE POINT, OR MORE",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-11T00:30:00.000","FOLLOWING TOO CLOSELY","WEATHER","3433","N","CLARK ST","1924",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","0","7","5","41.94446777","-87.654082824","POINT (-87.654082824047 41.944467770059)"
"5a113c26216471486fe0f954a7d2c91c346c1d02a5f32f9b5e7d0bc9da45708e0ba61acb95bf7ba1dc21052d9b6aca91caeb652be3e20c8774e7ffa702ba059e",,"2024-05-10T23:44:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DUSK","REAR END","FOUR WAY",,"STRAIGHT AND LEVEL","WET","UNKNOWN","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-10T23:44:00.000","EQUIPMENT - VEHICLE CONDITION","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","3557","N","CICERO AVE","1731",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","23","6","5","41.946087541","-87.74691498","POINT (-87.746914979618 41.946087541368)"
"16a08c6a4a4a1f12f53f40ae2ce68783bb5ad3d8c70f7944595fe04527cbea5f88b44e285282b05221d78646e59e4709ea7ebf8b73765739b945b0af0dfa1a20",,"2024-05-10T23:40:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","FIXED OBJECT","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-05-10T23:48:00.000","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST","3730","W","LAKE ST","1122",,,,,,,"1","NO INDICATION OF INJURY","0","0","0","0","0","1","0","23","6","5","41.885242209","-87.719701637","POINT (-87.719701637005 41.885242209045)"
"f4179c428866ef40c0b2630dc0f581955b35c4cd3956c93c249c325d2c8272f3241cf20a2d823d964a62762bf6a2ac522c8a4423d5590e408983340a5e0d384b",,"2024-05-10T23:30:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2024-05-11T00:09:00.000","IMPROPER BACKING","UNABLE TO DETERMINE","2243","S","MICHIGAN AVE","132",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","23","6","5","41.851638399","-87.623624842","POINT (-87.62362484186 41.851638399345)"
"6e12a2f58da90a56a7dd5d4d4bd22ea452270f2033fb42b1b9054e55318c66f262c09d0dc66270db1465c8431faf6c99907cc61f29049aa0d12eb0321c80bae9",,"2024-05-10T22:59:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","HEAD ON","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2024-05-10T23:14:00.000","UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED)","DRIVING ON WRONG SIDE/WRONG WAY","751","W","63RD ST","723",,,,,,,"2","REPORTED, NOT EVIDENT","1","0","0","0","1","1","0","22","6","5","41.779641463","-87.644727713","POINT (-87.644727712894 41.779641463436)"
"1f33a6bf0e1373084857843d15ec9ae01c5c8f5cc75db0889e5a3d903a20ab00443dff28ba0a168b489e52e9a7ff69100ee9bb7cc371d4ee619e91eddb8dcf70",,"2024-05-10T22:56:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,"N","Y","OVER $1,500","2024-05-10T22:56:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","901","N","AUSTIN BLVD","1511",,,,,,,"2","NONINCAPACITATING INJURY","1","0","0","1","0","2","0","22","6","5","41.896581747","-87.775046468","POINT (-87.775046468497 41.896581747056)"
"b29defd80a3b41081569793adaf48625759786afb856d34eff083233c1cea0e9905fc241e8cf184c66814e07fb61912b3498af667920adbee5d6e873a0daaf3f",,"2024-05-10T22:39:00.000","30","STOP SIGN/FLASHER","UNKNOWN","CLEAR","DARKNESS, LIGHTED ROAD","PEDESTRIAN","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"$500 OR LESS","2024-05-10T22:39:00.000","NOT APPLICABLE","NOT APPLICABLE","7534","S","CHAMPLAIN AVE","624",,,,,,,"2","REPORTED, NOT EVIDENT","1","0","0","0","1","1","0","22","6","5","41.757461202","-87.609169566","POINT (-87.609169565727 41.757461202192)"
"1e3b23fce5dba6a24ad84c2860966a2a956309196508c5c7b8ac8cb2f2601582661bad066944aadd8189ec14458f867132b3095c9b49a8de2bbc59ee66ef881e",,"2024-05-10T22:30:00.000","45","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","$501 - $1,500","2024-05-10T23:05:00.000","IMPROPER LANE USAGE","UNABLE TO DETERMINE","1001","N","LAKE SHORE DR","1824",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","6","5","41.900907671","-87.624026501","POINT (-87.624026501262 41.900907670855)"
