"address","street_number","direction","street_name","street_type","complaints","neshaps_demolition_notices","enforcement","inspections","permits","tanks","holds","latitude","longitude","location"
"1 E GARFIELD ","1","E","GARFIELD",,,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=1%20and%20direction=%27E%27%20and%20street_name=%27GARFIELD%27%20and%20street_type%20IS%20NULL)",,"41.79419337483611","-87.62560412329553","POINT (-87.62560412329553 41.79419337483611)"
"1 S OAKLEY AVE","1","S","OAKLEY","AVE",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1%20and%20direction=%27S%27%20and%20street_name=%27OAKLEY%27%20and%20street_type=%27AVE%27)",,,"41.881135107784196","-87.6838130027889","POINT (-87.6838130027889 41.881135107784196)"
"100 E 48TH ST","100","E","48TH","ST",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=100%20and%20direction=%27E%27%20and%20street_name=%2748TH%27%20and%20street_type=%27ST%27)",,"41.80757760588183","-87.62270879424256","POINT (-87.62270879424256 41.80757760588183)"
"100 W CONGRESS PKWY","100","W","CONGRESS","PKWY","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=100%20and%20direction=%27W%27%20and%20street_name=%27CONGRESS%27%20and%20street_type=%27PKWY%27)",,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=100%20and%20direction=%27W%27%20and%20street_name=%27CONGRESS%27%20and%20street_type=%27PKWY%27)",,,,"41.87571941483215","-87.6307628075704","POINT (-87.6307628075704 41.87571941483215)"
"1000 N OGDEN AVE","1000","N","OGDEN","AVE",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=1000%20and%20direction=%27N%27%20and%20street_name=%27OGDEN%27%20and%20street_type=%27AVE%27)",,,,
"1000 W KINZIE ST","1000","W","KINZIE","ST","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1000%20and%20direction=%27W%27%20and%20street_name=%27KINZIE%27%20and%20street_type=%27ST%27)",,,,,,,"41.88910290482025","-87.65229675839329","POINT (-87.65229675839329 41.88910290482025)"
"1000 W TAYLOR ST","1000","W","TAYLOR","ST",,,,,,,"Y (https://data.cityofchicago.org/resource/6gqn-e2ij.csv?$where=street_number_from=1000%20and%20street_direction=%27W%27%20and%20street_name=%27TAYLOR%27%20and%20street_type=%27ST%27)","41.86961579785376","-87.6511621833227","POINT (-87.6511621833227 41.86961579785376)"
"10056 S WESTERN AVE","10056","S","WESTERN","AVE",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=10056%20and%20direction=%27S%27%20and%20street_name=%27WESTERN%27%20and%20street_type=%27AVE%27)",,"41.71022243096251","-87.68188341376805","POINT (-87.68188341376805 41.71022243096251)"
"101 E 13TH ST","101","E","13TH","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=101%20and%20direction=%27E%27%20and%20street_name=%2713TH%27%20and%20street_type=%27ST%27)",,,,"41.865675859021735","-87.62407550806604","POINT (-87.62407550806604 41.865675859021735)"
"1015 W 69TH ST","1015","W","69TH","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1015%20and%20direction=%27W%27%20and%20street_name=%2769TH%27%20and%20street_type=%27ST%27)",,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1015%20and%20direction=%27W%27%20and%20street_name=%2769TH%27%20and%20street_type=%27ST%27)",,,,"41.76864558338712","-87.65000405408414","POINT (-87.65000405408414 41.76864558338712)"
"1018 N LARRABEE ST","1018","N","LARRABEE","ST",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1018%20and%20direction=%27N%27%20and%20street_name=%27LARRABEE%27%20and%20street_type=%27ST%27)",,,"41.901041185523994","-87.6432633597721","POINT (-87.6432633597721 41.901041185523994)"
"102 W MARQUETTE RD","102","W","MARQUETTE","RD",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=102%20and%20direction=%27W%27%20and%20street_name=%27MARQUETTE%27%20and%20street_type=%27RD%27)",,,,,,"41.77282069965616","-87.62767196227784","POINT (-87.62767196227784 41.77282069965616)"
"1026 W 14TH PL","1026","W","14TH","PL",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1026%20and%20direction=%27W%27%20and%20street_name=%2714TH%27%20and%20street_type=%27PL%27)",,,"41.86264820147394","-87.65195914158973","POINT (-87.65195914158973 41.86264820147394)"
