"id","pin","address","managing_organization","property_status","date_of_acquisition","date_of_disposition","sales_status","sale_offering_status","sale_offering_reason","sq_ft","square_footage_city_estimate","land_value","ward","community_area_number","community_area_name","zoning_classification","zip_code","last_update","application_use","grouped_parcels","application_deadline","offer_round","application_url","x_coordinate","y_coordinate","latitude","longitude","location"
"62151","17-27-404-018-0000",,"AIS","Owned by City",,,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"12953","17-04-120-013-0000","1480 N LARRABEE ST","None","Sold",,,,,,"0.0",,,"27","08","NEAR NORTH SIDE","RT-4","60610","03/14/2024",,,,,,"1171973.56852317","1910128.60096146","41.90884756396854","-87.64368288202958","
,  
(41.90884756396854, -87.64368288202958)"
"12534","17-18-102-023-0000","14 S HOYNE AVE","AIS","Owned by City",,,,,,"0.0",,,"27","28","NEAR WEST SIDE","RM-5","60612","03/14/2024",,,,,,"1162311.35980324","1899807.91217339","41.88073446356573","-87.67946611529723","
,  
(41.88073446356573, -87.67946611529723)"
"12577","17-08-332-004-0000","1527 W WARREN BLVD","AIS","Owned by City",,,,,,"0.0",,,"27","28","NEAR WEST SIDE","PD 1417","0","03/14/2024",,,,,,"1165879.46476239","1900342.79795784","41.882126887261734","-87.66634909896264","
,  
(41.882126887261734, -87.66634909896264)"
"12114","17-19-107-029-0000",,"None","Sold",,,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"14696","20-03-203-010-0000","447 E OAKWOOD BLVD","None","Sold",,,,,,"3026.0",,,"3","38","GRAND BOULEVARD","RM-5","60653","03/14/2024",,,,,,"1180083.75589407","1878677.99629364","41.8223625345067","-87.61485718592385","
,  
(41.8223625345067, -87.61485718592385)"
"14315","20-03-422-015-0000","445 E 46TH PL","None","Sold","1994-08-12T00:00:00.000","1997-07-30T00:00:00.000",,,,"2294.0",,,"3","38","GRAND BOULEVARD","RM-5","60653","03/14/2024",,,,,,"1180200.46533814","1874196.628826","41.81006262457996","-87.61456654883965","
,  
(41.81006262457996, -87.61456654883965)"
"14544","20-03-307-003-0000","4402 S MICHIGAN AVE","None","Sold",,,,,,"0.0",,,"3","38","GRAND BOULEVARD","RM-5","60653","03/14/2024",,,,,,"1177763.93947257","1875799.66050113","41.81451705531287","-87.62345474548569","
,  
(41.81451705531287, -87.62345474548569)"
"22408","25-25-209-013-0000",,"DPD - Open Space","Owned by City","2001-12-14T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
"22516","25-25-209-029-0000",,"DPD - Open Space","Owned by City","2001-12-14T00:00:00.000",,,,,"0.0",,,,,,,"0","03/14/2024",,,,,,"0.0","0.0","0.0","0.0","
,  
(0.0, 0.0)"
