"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"13449119","JH249090","2024-05-03T00:00:00.000","003XX E WACKER DR","1330","CRIMINAL TRESPASS","TO LAND","COMMERCIAL / BUSINESS OFFICE","false","false","0114","001","42","32","26","1178335","1902515","2024","2024-05-10T15:41:51.000","41.887812777","-87.620546628","
,  
(41.887812777, -87.620546628)"
"13455091","JH256738","2024-05-03T00:00:00.000","064XX W 63RD PL","0810","THEFT","OVER $500","STREET","false","false","0812","008","13","64","06",,,"2024","2024-05-10T15:41:51.000",,,
"13448405","JH248661","2024-05-03T00:00:00.000","001XX E 43RD ST","2820","OTHER OFFENSE","TELEPHONE THREAT","RESIDENCE","false","false","0215","002","3","38","08A","1178002","1876542","2024","2024-05-10T15:41:51.000","41.816548698","-87.622558996","
,  
(41.816548698, -87.622558996)"
"13448586","JH248688","2024-05-03T00:00:00.000","007XX N SPRINGFIELD AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false","1112","011","37","23","14","1150256","1904661","2024","2024-05-10T15:41:51.000","41.894295363","-87.723606022","
,  
(41.894295363, -87.723606022)"
"13448567","JH248550","2024-05-03T00:00:00.000","028XX W WABANSIA AVE","2027","NARCOTICS","POSSESS - CRACK","STREET","false","false","1421","014","26","24","18","1157030","1911289","2024","2024-05-10T15:41:51.000","41.912348372","-87.698546954","
,  
(41.912348372, -87.698546954)"
"13449145","JH248396","2024-05-03T00:00:00.000","003XX E 56TH ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","true","0231","002","20","40","14","1179667","1867971","2024","2024-05-10T15:41:51.000","41.792991176","-87.616713585","
,  
(41.792991176, -87.616713585)"
"13449260","JH249485","2024-05-03T00:00:00.000","039XX N NARRAGANSETT AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1632","016","38","17","08B","1132991","1925624","2024","2024-05-10T15:41:51.000","41.952139523","-87.786525147","
,  
(41.952139523, -87.786525147)"
"13448636","JH248763","2024-05-03T00:00:00.000","079XX S MUSKEGON AVE","0281","CRIMINAL SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT","false","false","0422","004","7","46","02","1196551","1852808","2024","2024-05-10T15:41:51.000","41.750980041","-87.555306017","
,  
(41.750980041, -87.555306017)"
"13448680","JH249125","2024-05-03T00:00:00.000","100XX W OHARE ST","0810","THEFT","OVER $500","AIRPORT TERMINAL LOWER LEVEL - SECURE AREA","false","false","1651","016","41","76","06","1100658","1934241","2024","2024-05-10T15:41:51.000","41.976290414","-87.905227221","
,  
(41.976290414, -87.905227221)"
"13451430","JH252314","2024-05-03T00:00:00.000","076XX S GREEN ST","0820","THEFT","$500 AND UNDER","STREET","false","false","0621","006","17","71","06","1171960","1854218","2024","2024-05-10T15:41:51.000","41.755424135","-87.645377577","
,  
(41.755424135, -87.645377577)"
"13448133","JH248304","2024-05-02T23:57:00.000","012XX N KARLOV AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","true","true","2534","025","37","23","14","1148827","1907798","2024","2024-05-10T15:41:51.000","41.902931363","-87.728773159","
,  
(41.902931363, -87.728773159)"
"13448132","JH248285","2024-05-02T23:56:00.000","012XX N ASHLAND AVE","141C","WEAPONS VIOLATION","UNLAWFUL USE - OTHER DANGEROUS WEAPON","SIDEWALK","true","false","1424","014","1","24","15","1165504","1908200","2024","2024-05-10T15:41:51.000","41.903695631","-87.667503909","
,  
(41.903695631, -87.667503909)"
"13448125","JH248279","2024-05-02T23:55:00.000","061XX S MASSASOIT AVE","0560","ASSAULT","SIMPLE","RESIDENCE","false","true","0812","008","13","64","08A","1139120","1863314","2024","2024-05-10T15:41:51.000","41.781042834","-87.765509564","
,  
(41.781042834, -87.765509564)"
"13448897","JH248609","2024-05-02T23:45:00.000","017XX W WILSON AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false","1912","019","47","3","14","1163727","1930592","2024","2024-05-10T15:41:51.000","41.96517823","-87.673398093","
,  
(41.96517823, -87.673398093)"
"13448172","JH248264","2024-05-02T23:42:00.000","002XX W GARFIELD BLVD","0460","BATTERY","SIMPLE","CTA PLATFORM","false","false","0935","009","20","37","08B","1175647","1868500","2024","2024-05-10T15:41:51.000","41.794533814","-87.631438536","
,  
(41.794533814, -87.631438536)"
"13448199","JH248273","2024-05-02T23:41:00.000","071XX S VINCENNES AVE","0820","THEFT","$500 AND UNDER","STREET","false","false","0731","007","6","69","06","1176647","1857778","2024","2024-05-10T15:41:51.000","41.765089052","-87.628094038","
,  
(41.765089052, -87.628094038)"
"13450417","JH248263","2024-05-02T23:39:00.000","024XX W HARRISON ST","1153","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","APARTMENT","false","false","1135","011","28","28","11","1160274","1897295","2024","2024-05-10T15:41:51.000","41.873881152","-87.687016619","
,  
(41.873881152, -87.687016619)"
"13448137","JH248255","2024-05-02T23:39:00.000","006XX S CICERO AVE","0460","BATTERY","SIMPLE","VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)","false","false","1131","011","24","25","08B","1144487","1896833","2024","2024-05-10T15:41:51.000","41.872924943","-87.744991122","
,  
(41.872924943, -87.744991122)"
"13448460","JH248636","2024-05-02T23:30:00.000","044XX W JACKSON BLVD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","VEHICLE NON-COMMERCIAL","false","false","1113","011","28","26","07","1146773","1898316","2024","2024-05-10T15:41:51.000","41.876951168","-87.736560195","
,  
(41.876951168, -87.736560195)"
"13448807","JH249278","2024-05-02T23:30:00.000","079XX S INGLESIDE AVE","0920","MOTOR VEHICLE THEFT","ATTEMPT - AUTOMOBILE","STREET","false","false","0624","006","8","44","07","1183939","1852589","2024","2024-05-10T15:41:51.000","41.750682745","-87.601528757","
,  
(41.750682745, -87.601528757)"
"13448131","JH248275","2024-05-02T23:30:00.000","013XX N MILWAUKEE AVE","0820","THEFT","$500 AND UNDER","ALLEY","false","false","1424","014","1","24","06","1164889","1908833","2024","2024-05-10T15:41:51.000","41.905445703","-87.669744954","
,  
(41.905445703, -87.669744954)"
"13448409","JH248426","2024-05-02T23:30:00.000","011XX N MASSASOIT AVE","1581","SEX OFFENSE","NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES","APARTMENT","false","true","1511","015","29","25","17","1137813","1906973","2024","2024-05-10T15:41:51.000","41.900873332","-87.769250154","
,  
(41.900873332, -87.769250154)"
"13448175","JH248276","2024-05-02T23:30:00.000","013XX S LAWNDALE AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","RESIDENCE - YARD (FRONT / BACK)","false","false","1011","010","24","29","14","1151923","1893461","2024","2024-05-10T15:41:51.000","41.863528686","-87.717778622","
,  
(41.863528686, -87.717778622)"
"13448117","JH248249","2024-05-02T23:28:00.000","004XX N CICERO AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1111","011","28","25","03","1144294","1902365","2024","2024-05-10T15:41:51.000","41.888109048","-87.745560622","
,  
(41.888109048, -87.745560622)"
"13448102","JH248241","2024-05-02T23:27:00.000","030XX W 63RD ST","031A","ROBBERY","ARMED - HANDGUN","GAS STATION","false","false","0823","008","15","66","03","1157216","1862707","2024","2024-05-10T15:41:51.000","41.779030068","-87.699181533","
,  
(41.779030068, -87.699181533)"
"13448815","JH249089","2024-05-02T23:25:00.000","030XX N CENTRAL AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","2514","025","31","19","14","1138507","1919622","2024","2024-05-10T15:41:51.000","41.935571067","-87.766393859","
,  
(41.935571067, -87.766393859)"
"13448401","JH248565","2024-05-02T23:25:00.000","064XX N FAIRFIELD AVE","0810","THEFT","OVER $500","RESIDENCE - GARAGE","false","false","2412","024","50","2","06","1156824","1942650","2024","2024-05-10T15:41:51.000","41.998409055","-87.698450208","
,  
(41.998409055, -87.698450208)"
"13448203","JH248242","2024-05-02T23:24:00.000","070XX S JUSTINE ST","1365","CRIMINAL TRESPASS","TO RESIDENCE","APARTMENT","false","true","0734","007","17","67","26","1167219","1858134","2024","2024-05-10T15:41:51.000","41.766272887","-87.662640253","
,  
(41.766272887, -87.662640253)"
"13448387","JH248635","2024-05-02T23:24:00.000","026XX W 22ND PL","0820","THEFT","$500 AND UNDER","RESIDENCE","false","false","1034","010","25","30","06","1159059","1888961","2024","2024-05-10T15:41:51.000","41.851036826","-87.691706209","
,  
(41.851036826, -87.691706209)"
"13448225","JH248326","2024-05-02T23:20:00.000","136XX S BRAINARD AVE","0334","ROBBERY","ATTEMPT ARMED - KNIFE / CUTTING INSTRUMENT","SIDEWALK","false","false","0433","004","10","55","03","1199819","1815111","2024","2024-05-10T15:41:51.000","41.647454304","-87.544595807","
,  
(41.647454304, -87.544595807)"
"13448519","JH248771","2024-05-02T23:20:00.000","036XX N BROADWAY","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","APARTMENT","false","false","1925","019","46","6","26","1170789","1924357","2024","2024-05-10T15:41:51.000","41.947916996","-87.647616385","
,  
(41.947916996, -87.647616385)"
"13448186","JH248234","2024-05-02T23:20:00.000","108XX S WESTERN AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","2212","022","19","75","14","1162323","1832560","2024","2024-05-10T15:41:51.000","41.696197127","-87.681296053","
,  
(41.696197127, -87.681296053)"
"13448135","JH248274","2024-05-02T23:19:00.000","048XX N MILWAUKEE AVE","1330","CRIMINAL TRESPASS","TO LAND","BAR OR TAVERN","true","false","1623","016","45","11","26","1139590","1931976","2024","2024-05-10T15:41:51.000","41.969451889","-87.762111096","
,  
(41.969451889, -87.762111096)"
"13448139","JH248291","2024-05-02T23:15:00.000","086XX S LOWE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false","0622","006","21","71","14","1173484","1847473","2024","2024-05-10T15:41:51.000","41.73688141","-87.639991696","
,  
(41.73688141, -87.639991696)"
"13449189","JH248239","2024-05-02T23:15:00.000","039XX N NARRAGANSETT AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1632","016","38","17","08B","1132991","1925624","2024","2024-05-10T15:41:51.000","41.952139523","-87.786525147","
,  
(41.952139523, -87.786525147)"
"13448142","JH248302","2024-05-02T23:12:00.000","076XX S DAMEN AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","0611","006","18","71","08B","1164353","1853908","2024","2024-05-10T15:41:51.000","41.754736993","-87.673264071","
,  
(41.754736993, -87.673264071)"
"13448254","JH248280","2024-05-02T23:10:00.000","078XX S MORGAN ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","0621","006","17","71","08B","1171006","1852790","2024","2024-05-10T15:41:51.000","41.751526398","-87.64891537","
,  
(41.751526398, -87.64891537)"
"13448141","JH248212","2024-05-02T23:05:00.000","043XX W NORTH AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESTAURANT","false","false","2534","025","36","23","14","1147061","1910278","2024","2024-05-10T15:41:51.000","41.909770708","-87.735196552","
,  
(41.909770708, -87.735196552)"
"13448230","JH248282","2024-05-02T23:01:00.000","011XX W 18TH ST","0560","ASSAULT","SIMPLE","TAVERN / LIQUOR STORE","false","false","1235","012","25","31","08A","1169201","1891572","2024","2024-05-10T15:41:51.000","41.857987652","-87.65440722","
,  
(41.857987652, -87.65440722)"
"13448538","JH248603","2024-05-02T23:00:00.000","031XX S ABERDEEN ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0913","009","11","60","08B","1169495","1883853","2024","2024-05-10T15:41:51.000","41.836799653","-87.653552344","
,  
(41.836799653, -87.653552344)"
"13448474","JH248508","2024-05-02T23:00:00.000","067XX S JEFFERY BLVD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0331","003","5","43","07","1190706","1860644","2024","2024-05-10T15:41:51.000","41.772625715","-87.576471929","
,  
(41.772625715, -87.576471929)"
"13451097","JH248278","2024-05-02T23:00:00.000","074XX S PHILLIPS AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","0334","003","7","43","08B","1193934","1856191","2024","2024-05-10T15:41:51.000","41.760327795","-87.564785051","
,  
(41.760327795, -87.564785051)"
"13448726","JH249087","2024-05-02T23:00:00.000","002XX N GARVEY CT","0820","THEFT","$500 AND UNDER","STREET","false","false","0111","001","42","32","06","1175710","1901836","2024","2024-05-10T15:41:51.000","41.886008992","-87.630206795","
,  
(41.886008992, -87.630206795)"
"13448477","JH248739","2024-05-02T23:00:00.000","036XX N WILTON AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","1923","019","44","6","14","1169286","1924365","2024","2024-05-10T15:41:51.000","41.947971812","-87.653140799","
,  
(41.947971812, -87.653140799)"
"13448130","JH248217","2024-05-02T22:55:00.000","047XX W BELMONT AVE","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false","2521","025","31","19","06","1144028","1920849","2024","2024-05-10T15:41:51.000","41.93883609","-87.746072695","
,  
(41.93883609, -87.746072695)"
"13448187","JH248229","2024-05-02T22:50:00.000","013XX S WASHTENAW AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1023","010","28","29","08B","1158576","1893795","2024","2024-05-10T15:41:51.000","41.86431172","-87.693346684","
,  
(41.86431172, -87.693346684)"
"13448097","JH248236","2024-05-02T22:41:00.000","054XX S RIDGEWAY AVE","0560","ASSAULT","SIMPLE","RESIDENCE","false","true","0822","008","23","62","08A","1152299","1868257","2024","2024-05-10T15:41:51.000","41.794358199","-87.717062056","
,  
(41.794358199, -87.717062056)"
"13448258","JH248225","2024-05-02T22:40:00.000","029XX N MULLIGAN AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","true","true","2511","025","30","19","08B","1133570","1918839","2024","2024-05-10T15:41:51.000","41.933510583","-87.784556376","
,  
(41.933510583, -87.784556376)"
"13448741","JH249055","2024-05-02T22:34:00.000","096XX S AVENUE M","0560","ASSAULT","SIMPLE","RESIDENCE","false","false","0432","004","10","52","08A","1201456","1841792","2024","2024-05-10T15:41:51.000","41.720628249","-87.537705313","
,  
(41.720628249, -87.537705313)"
"13448194","JH248224","2024-05-02T22:30:00.000","035XX W VAN BUREN ST","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false","1133","011","28","27","14","1152894","1897799","2024","2024-05-10T15:41:51.000","41.875413477","-87.714099248","
,  
(41.875413477, -87.714099248)"
"13448147","JH248214","2024-05-02T22:30:00.000","014XX W TAYLOR ST","0560","ASSAULT","SIMPLE","RESTAURANT","false","false","1231","012","28","28","08A","1167114","1895691","2024","2024-05-10T15:41:51.000","41.869335568","-87.661949521","
,  
(41.869335568, -87.661949521)"
