"lab_report_date","cases_total","deaths_total","hospitalizations_total","cases_age_0_17","cases_age_18_29","cases_age_30_39","cases_age_40_49","cases_age_50_59","cases_age_60_69","cases_age_70_79","cases_age_80_","cases_age_unknown","cases_female","cases_male","cases_unknown_gender","cases_latinx","cases_asian_non_latinx","cases_black_non_latinx","cases_white_non_latinx","cases_other_non_latinx","cases_unknown_race_eth","deaths_0_17_yrs","deaths_18_29_yrs","deaths_30_39_yrs","deaths_40_49_yrs","deaths_50_59_yrs","deaths_60_69_yrs","deaths_70_79_yrs","deaths_80_yrs","deaths_unknown_age","deaths_female","deaths_male","deaths_unknown_gender","deaths_latinx","deaths_asian_non_latinx","deaths_black_non_latinx","deaths_white_non_latinx","deaths_other_non_latinx","deaths_unknown_race_eth","hospitalizations_age_0_17","hospitalizations_age_18_29","hospitalizations_age_30_39","hospitalizations_age_40_49","hospitalizations_age_50_59","hospitalizations_age_60_69","hospitalizations_age_70_79","hospitalizations_age_80_","hospitalizations_age_unknown","hospitalizations_female","hospitalizations_male","hospitalizations_unknown_gender","hospitalizations_latinx","hospitalizations_asian_non_latinx","hospitalizations_black_non_latinx","hospitalizations_white_non_latinx","hospitalizations_other_race_non_latinx","hospitalizations_unknown_race_ethnicity"
"2024-05-07T00:00:00.000","14","0",,"2","0","6","2","1","0","1","2","0","11","3","0","3","1","5","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,
"2024-05-06T00:00:00.000","42","0",,"7","6","4","3","7","8","3","4","0","17","20","5","7","1","9","13","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,
"2024-05-05T00:00:00.000","18","0",,"3","5","5","2","0","1","0","2","0","13","5","0","4","0","8","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,
"2024-05-04T00:00:00.000","36","0",,"0","8","8","7","1","4","5","3","0","22","14","0","7","1","9","12","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,
"2024-05-03T00:00:00.000","66","0","4","13","9","4","5","13","13","5","4","0","27","34","5","5","1","17","12","3","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","2","2","0","0","0","3","0","1","0"
"2024-05-02T00:00:00.000","37","0","9","8","3","6","1","11","3","1","4","0","22","15","0","10","4","6","13","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","2","1","1","2","0","4","5","0","4","0","4","1","0","0"
"2024-05-01T00:00:00.000","42","0","4","6","7","9","5","5","3","5","2","0","26","16","0","9","1","10","13","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","0","3","1","0","0","0","2","2","0","0"
"2024-04-30T00:00:00.000","60","0","6","10","5","11","5","9","9","7","4","0","27","33","0","16","2","23","10","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","2","4","0","2","0","1","2","1","0"
"2024-04-29T00:00:00.000","45","0","4","10","5","10","1","4","10","1","4","0","32","13","0","9","0","23","8","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","0","2","2","0","2","0","1","1","0","0"
"2024-04-28T00:00:00.000","26","0","1","5","3","5","4","1","2","3","3","0","19","7","0","4","0","8","7","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0"
