"purchase_order_description","purchase_order_contract_number","revision_number","specification_number","contract_type","start_date","end_date","approval_date","department","vendor_name","vendor_id","address_1","address_2","city","state","zip","award_amount","procurement_type","contract_pdf"
"1245806: ISW SOUTH CHICAGO: COMMERCIAL AVENUE CORRIDOR IMPROVEMENTS, S. SOUTH CHICAGO AVE TO E. 90TH ST. (SBI-I)","207537","7","1245806","CONSTRUCTION-LARGE $3MILLIONorABOVE",,,"2024-05-09T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","SUMIT CONSTRUCTION CO., INC.","21973746A","4150 W WRIGHTWOOD AVE FL 1ST",,"CHICAGO","IL","60639","2189507","BID",
"DPD-ARP-CAP:","193150","3","1242024","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","NORTHWEST SIDE HOUSING CENTER","97390956Z","5233 W DIVERSEY AVENUE EFT",,"CHICAGO","IL","60638","-48646.8",,
"STAINLESS STEEL BAND TYPE CLAMPS AND TAPPED CLAMPS","30085","18","117001","COMMODITIES","2014-07-15T00:00:00.000","2024-07-12T00:00:00.000","2024-05-09T00:00:00.000","DEPARTMENT OF WATER MANAGEMENT","CHICAGO UNITED INDUSTRIES, LIMITED","105468708E","505 N LAKE SHORE DR",,"CHICAGO","IL","60611","40000","BID",
"DPD-ARP-CAP:","240949","1","1242024","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","NORTHWEST SIDE CDC","105478915L","5233 W DIVERSEY AVE",,"CHICAGO","IL","60639","-3401.9",,
"1191565: Cab/Chassis Trucks with Aerial Platforms, Derricks, Buckets, Augers and Service Bodies.","177120","1","1191565","VEHICLES/HEAVY EQUIPMENT (CAPITAL)","2022-03-15T00:00:00.000","2027-03-14T00:00:00.000","2024-05-09T00:00:00.000","DEPT OF FLEET AND FACILITY MANAGEMENT","PATSON","93915714M","776 N YORK ROAD EFT",,"ELMHURST","IL","60126","4479000","BID",
"DPD-ARP-CAP:","190670","5","1242024","DELEGATE AGENCY","2022-05-01T00:00:00.000","2024-12-31T00:00:00.000","2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","GREATER CHATHAM INITIATIVE","102701968X","P.O. Box 19217","7822 S DOBSON AVE","CHICAGO","IL","60619","44508","RFP",
"DPD-ARP-CAP:","194418","2","1242024","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","CENTERS FOR NEW HORIZONS 01","15427701H","4150 S KING DRIVE EFT",,"CHICAGO","IL","60653","-174949.5",,
"700819: INDUSTRIAL EQUIPMENT, TOOLS, ATTACHMENTS, VARIOUS FASTENERS, SUPPLIES AND ACCESSORIES (GROUPS - G and L)","102618","2","700819","COMMODITIES-AVIATION","2019-06-17T00:00:00.000","2024-06-16T00:00:00.000","2024-05-09T00:00:00.000","DEPT OF AVIATION","J P SIMONS & COMPANY","15134241H","1426 BROOK DR",,"DOWNERS GROVE","IL","60515","0","BID",
"MAINTENANCE REPAIR AND UPFIT FOR CITY OWNED VEHICLES AND EQUIPMENT","25074","9","81262","WORK SERVICES / FACILITIES MAINT.","2011-11-07T00:00:00.000","2025-05-07T00:00:00.000","2024-05-09T00:00:00.000","DEPT OF FLEET MGMT","PATSON","93915714M","776 N YORK ROAD EFT",,"ELMHURST","IL","60126","0","BID",
"DPD-ARP-CAP:","193499","2","1242024","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","WESTSIDE HEALTH AUTHORITY","22686520T","ATTN: BUSINESS OFFICE/J. REED","5417 W DIVISION STREET EFT","CHICAGO","IL","60651","-41034.9",,
"DPD-ARP-CAP:","193782","2","1242024","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","BRIGHT STAR COMMUNITY OUTREACH CORPORATION","87469744L","735 E 44TH ST # 1",,"CHICAGO","IL","60653","-15668.5",,
"793280; Replace Passenger & Freight Elevators at Heating & Refrigeration Plant","170898","10","793280","CONSTRUCTION-AVIATION",,,"2024-05-09T00:00:00.000","DEPT OF AVIATION","ACCEL CONSTRUCTION SERVICES GROUP, LLC","105473959P","2211 N ELSTON AVE",,"CHICAGO","IL","60614","49642",,
"DOH-CORP-TACIT:","269362","0","1278849","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPARTMENT OF HOUSING","REBUILDING TOGETHER METRO CHICAGO","102689466L","4507 N RAVENSWOOD AVE  106 EFT",,"CHICAGO","IL","60640","95184",,
"DPD-ARP-CAP:","193227","3","1242024","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","GREATER CHATHAM INITIATIVE","102701968X","P.O. Box 19217","7822 S DOBSON AVE","CHICAGO","IL","60619","-89762.2",,
"Band It Tools, Parts and Accessories","247456","0","1264244","COMMODITIES","2024-05-03T00:00:00.000","2027-05-02T00:00:00.000","2024-05-09T00:00:00.000","CHICAGO DEPARTMENT OF TRANSPORTATION","PermaBand","10513214","9312 N Clark Rd",,"RICHMOND","IL","60071","400715","BID",
"DPD-ARP-CAP:","194191","6","1242024","DELEGATE AGENCY",,,"2024-05-09T00:00:00.000","DEPT OF PLANNING & DEVELOPMENT","UPTOWN UNITED","105467433V","4619 N BROADWAY",,"CHICAGO","IL","60640","-10420.2",,
