"case_","date_of_occurrence","block","_iucr","_primary_decsription","_secondary_description","_location_description","arrest","domestic","beat","ward","fbi_cd","x_coordinate","y_coordinate","latitude","longitude","location"
"JG248685","2023-05-05T05:15:00.000","097XX S WENTWORTH AVE","0810","THEFT","OVER $500","STREET","N","N","511","9","06","1176661","1840424","41.717467205","-87.628563649","
,  
(41.717467205, -87.628563649)"
"JG248646","2023-05-05T05:30:00.000","0000X N DEARBORN ST","0430","BATTERY","AGGRAVATED - OTHER DANGEROUS WEAPON","CTA PLATFORM","N","N","112","34","04B","1175937","1900516","41.882381731","-87.629412971","
,  
(41.882381731, -87.629412971)"
"JG249154","2023-05-05T05:45:00.000","035XX N KIMBALL AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","APPLIANCE STORE","N","Y","1732","35","08A","1153099","1923246","41.945238279","-87.712670479","
,  
(41.945238279, -87.712670479)"
"JG248586","2023-05-05T05:45:00.000","039XX W FILLMORE ST","2024","NARCOTICS","POSSESS - HEROIN (WHITE)","SIDEWALK","Y","N","1132","24","18","1150195","1895080","41.868005236","-87.724079862","
,  
(41.868005236, -87.724079862)"
"JG249367","2023-05-05T06:00:00.000","015XX W CULLERTON ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","SIDEWALK","N","N","1235","25","07","1166193","1890492","41.855088773","-87.665479221","
,  
(41.855088773, -87.665479221)"
"JG249517","2023-05-05T06:00:00.000","053XX S INDIANA AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","ALLEY","N","N","231","3","14","1178509","1869556","41.797366975","-87.620911639","
,  
(41.797366975, -87.620911639)"
"JG248585","2023-05-05T06:00:00.000","047XX S TRIPP AVE","031A","ROBBERY","ARMED - HANDGUN","STREET","N","N","815","14","03","1148827","1872806","41.806908939","-87.729676778","
,  
(41.806908939, -87.729676778)"
"JG248698","2023-05-05T06:00:00.000","0000X W TERMINAL ST","0810","THEFT","OVER $500","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA","N","N","1651","41","06","1100317","1935229","41.979006297","-87.906463155","
,  
(41.979006297, -87.906463155)"
"JG248596","2023-05-05T06:15:00.000","019XX N WESTERN AVE","0320","ROBBERY","STRONG ARM - NO WEAPON","CTA TRAIN","Y","N","1434","1","03","1160062","1912639","41.915990756","-87.687370839","
,  
(41.915990756, -87.687370839)"
"JG248757","2023-05-05T06:30:00.000","095XX S COLFAX AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","VEHICLE NON-COMMERCIAL","N","N","431","7","07","1195172","1842245","41.722028383","-87.560706739","
,  
(41.722028383, -87.560706739)"
"JG248615","2023-05-05T06:45:00.000","086XX S COTTAGE GROVE AVE","0880","THEFT","PURSE-SNATCHING","STREET","N","N","632","8","06","1183068","1847963","41.738008783","-87.604863987","
,  
(41.738008783, -87.604863987)"
"JG248910","2023-05-05T06:45:00.000","042XX W CHICAGO AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","1111","37","07","1148104","1905000","41.895267308","-87.731500996","
,  
(41.895267308, -87.731500996)"
"JG248598","2023-05-05T06:51:00.000","014XX N LUNA AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","2532","37","14","1139071","1909120","41.906742164","-87.764577073","
,  
(41.906742164, -87.764577073)"
"JG504016","2023-05-05T07:00:00.000","090XX S PARNELL AVE","1242","DECEPTIVE PRACTICE","COMPUTER FRAUD","RESIDENCE","N","N","2223","9","11","1174224","1844758","41.729414696","-87.637361006","
,  
(41.729414696, -87.637361006)"
"JG407062","2023-05-05T07:00:00.000","006XX E 88TH PL","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE","N","N","632","8","05","1181959","1846437","41.733846952","-87.608974106","
,  
(41.733846952, -87.608974106)"
"JG249021","2023-05-05T07:00:00.000","068XX S JEFFERY BLVD","0920","MOTOR VEHICLE THEFT","ATTEMPT - AUTOMOBILE","STREET","N","N","332","5","07","1190721","1860101","41.771135319","-87.576434462","
,  
(41.771135319, -87.576434462)"
"JG248634","2023-05-05T07:00:00.000","046XX S SPAULDING AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","821","12","07","1155161","1873610","41.808990794","-87.70642393","
,  
(41.808990794, -87.70642393)"
"JG249015","2023-05-05T07:00:00.000","060XX N CAMPBELL AVE","1110","DECEPTIVE PRACTICE","BOGUS CHECK","APARTMENT","N","N","2413","40","11","1158562","1940113","41.99141189","-87.692126542","
,  
(41.99141189, -87.692126542)"
"JG249222","2023-05-05T07:03:00.000","011XX N CLARK ST","0860","THEFT","RETAIL THEFT","DRUG STORE","N","N","1824","2","06","1175324","1908199","41.903478069","-87.631433102","
,  
(41.903478069, -87.631433102)"
"JG248624","2023-05-05T07:15:00.000","040XX W POLK ST","0820","THEFT","$500 AND UNDER","APARTMENT","Y","Y","1132","24","06","1149573","1896139","41.870923347","-87.726335869","
,  
(41.870923347, -87.726335869)"
"JG249641","2023-05-05T07:15:00.000","059XX W WASHINGTON BLVD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","1513","29","07","1137051","1900142","41.882141905","-87.772213162","
,  
(41.882141905, -87.772213162)"
"JG248623","2023-05-05T07:16:00.000","012XX S INDEPENDENCE BLVD","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","STREET","N","Y","1011","24","26","1151447","1894227","41.865640031","-87.719505892","
,  
(41.865640031, -87.719505892)"
"JG248629","2023-05-05T07:17:00.000","014XX W 80TH ST","0497","BATTERY","AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON","APARTMENT","N","Y","612","17","04B","1167960","1851693","41.748582027","-87.660108968","
,  
(41.748582027, -87.660108968)"
"JG248613","2023-05-05T07:20:00.000","008XX N LATROBE AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","1524","37","14","1141204","1905047","41.895526301","-87.756842127","
,  
(41.895526301, -87.756842127)"
"JG251267","2023-05-05T07:30:00.000","061XX S NEENAH AVE","0920","MOTOR VEHICLE THEFT","ATTEMPT - AUTOMOBILE","STREET","N","N","812","13","07","1133797","1863045","41.780399448","-87.785031512","
,  
(41.780399448, -87.785031512)"
"JG248628","2023-05-05T07:30:00.000","047XX S DREXEL BLVD","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","N","Y","223","4","14","1182985","1873871","41.809104714","-87.604363507","
,  
(41.809104714, -87.604363507)"
"JG248652","2023-05-05T07:35:00.000","001XX S MICHIGAN AVE","0860","THEFT","RETAIL THEFT","CONVENIENCE STORE","N","N","112","34","06","1177321","1899793","41.880366516","-87.6243529","
,  
(41.880366516, -87.6243529)"
"JG248664","2023-05-05T07:40:00.000","011XX E 62ND ST","0820","THEFT","$500 AND UNDER","STREET","N","N","314","20","06","1184692","1864124","41.782318263","-87.598408275","
,  
(41.782318263, -87.598408275)"
"JG248981","2023-05-05T07:48:00.000","001XX W DIVISION ST","0860","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","1821","2","06","1175207","1908349","41.903892302","-87.631858359","
,  
(41.903892302, -87.631858359)"
