"id","permit_","permit_status","permit_milestone","permit_type","review_type","application_start_date","issue_date","processing_time","street_number","street_direction","street_name","work_type","work_description","building_fee_paid","zoning_fee_paid","other_fee_paid","subtotal_paid","building_fee_unpaid","zoning_fee_unpaid","other_fee_unpaid","subtotal_unpaid","building_fee_waived","building_fee_subtotal","zoning_fee_subtotal","other_fee_subtotal","zoning_fee_waived","other_fee_waived","subtotal_waived","total_fee","contact_1_type","contact_1_name","contact_1_city","contact_1_state","contact_1_zipcode","contact_2_type","contact_2_name","contact_2_city","contact_2_state","contact_2_zipcode","contact_3_type","contact_3_name","contact_3_city","contact_3_state","contact_3_zipcode","contact_4_type","contact_4_name","contact_4_city","contact_4_state","contact_4_zipcode","contact_5_type","contact_5_name","contact_5_city","contact_5_state","contact_5_zipcode","contact_6_type","contact_6_name","contact_6_city","contact_6_state","contact_6_zipcode","contact_7_type","contact_7_name","contact_7_city","contact_7_state","contact_7_zipcode","contact_8_type","contact_8_name","contact_8_city","contact_8_state","contact_8_zipcode","contact_9_type","contact_9_name","contact_9_city","contact_9_state","contact_9_zipcode","contact_10_type","contact_10_name","contact_10_city","contact_10_state","contact_10_zipcode","contact_11_type","contact_11_name","contact_11_city","contact_11_state","contact_11_zipcode","contact_12_type","contact_12_name","contact_12_city","contact_12_state","contact_12_zipcode","contact_13_type","contact_13_name","contact_13_city","contact_13_state","contact_13_zipcode","contact_14_type","contact_14_name","contact_14_city","contact_14_state","contact_14_zipcode","contact_15_type","contact_15_name","contact_15_city","contact_15_state","contact_15_zipcode","reported_cost","pin_list","pin1","pin2","pin3","pin4","pin5","pin6","pin7","pin8","pin9","pin10","community_area","census_tract","ward","xcoordinate","ycoordinate","latitude","longitude","location"
"902224","62956",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2001-09-18T00:00:00.000","2007-07-07T00:00:00.000","2118","404","W","MERCHANDISE MART PLZ",,"MAINTENNACE","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,
"1646031","100091895",,,"PERMIT - ELECTRIC WIRING","ELECTRICAL PLAN REVIEW","2006-01-25T00:00:00.000","2006-01-25T00:00:00.000","0","3932","W","CERMAK RD",,"INSTALL 2000A SERVICE AS PR PLAN# 20456","200","0","0","200","0","0","0","0","0","200","0","0","0","0","0","200","CONTRACTOR-ELECTRICAL","A & J ELECTRIC, CO","ST JOHN","IN","46373-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,
"1649604","100094130",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-02-04T00:00:00.000","2006-03-08T00:00:00.000","32","225","N","WACKER DR",,"MONTHLY MAINTENANCE  JANUARY  2006","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","ILLINOIS BELL / AT&T","CHICAGO","IL","60606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500",,,,,,,,,,,,,,,,,,,
"1671223","100107607",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-04-13T00:00:00.000","2006-06-01T00:00:00.000","49","2233","N","KENMORE AVE",,"APRIL MAINTENANCE","0","0","0","0","0","0","0","0","40","40","0","0","0","0","40","40","CONTRACTOR-ELECTRICAL","DEPAUL UNIVERSITY","CHICAGO","IL","60614-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"1168965.3178496854","1915157.8810745182",,,
"1693645","100120952",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-06-28T00:00:00.000","2006-07-03T00:00:00.000","5","5064","S","MERRIMAC AVE",,"UNDERGROUND CONDUIT & BASE","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","LA CROSSE ELECTRIC CO.","BENSENVILLE","IL","60106-0827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6000",,,,,,,,,,,,,,,,,,,
"1701549","100126221",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2006-07-21T00:00:00.000","2006-07-21T00:00:00.000","0","300","N","RIVERSIDE PLZ",,"MAINTENANCE OF TELCOM SYSTEM","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","AVAYA INC.","AUSTIN","TX","78717-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,
"1735180","100143564",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2007-01-05T00:00:00.000","2007-01-05T00:00:00.000","0","2324","N","FREMONT ST",,"OCTOBER MAINTENANCE","0","0","0","0","0","0","0","0","40","40","0","0","0","0","40","40","CONTRACTOR-ELECTRICAL","DEPAUL UNIVERSITY","CHICAGO","IL","60614-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,
"1789246","100167995",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2007-04-27T00:00:00.000","2007-04-27T00:00:00.000","0","2324","N","FREMONT ST",,"MARCH MAINTENANCE (FEE WAIVER ATTACHED)","0","0","0","0","0","0","0","0","40","40","0","0","0","0","40","40","CONTRACTOR-ELECTRICAL","DEPAUL UNIVERSITY","CHICAGO","IL","60614-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,
"1816528","100182905",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2007-06-08T00:00:00.000","2008-09-24T00:00:00.000","474","2319","N","KENMORE AVE",,"APRIL, MAY, JUNE MAINTENANCE","0","0","0","0","0","0","0","0","40","40","0","0","0","0","40","40","CONTRACTOR-ELECTRICAL","DEPAUL UNIVERSITY","CHICAGO","IL","60614-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"14-32-203-005",,,,,,,,,,"7","710","32","1168948.7399981522","1915676.224670392",,,
"1864312","100210318",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2007-11-05T00:00:00.000","2007-11-06T00:00:00.000","1","1110","W","112TH PL",,"LOW VOLTAGE ALARM","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","BROADVIEW SECURITY INC","IRVING","TX","75063-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"309",,"25-20-208-044",,,,,,,,,,,,,"1170879.2681165566","1830197.5680848665",,,
"1889816","100223506",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2008-02-11T00:00:00.000","2008-02-14T00:00:00.000","3","6714","S","COTTAGE GROVE AVE",,"INSTALLATION OF LOW VOLTAGE BURGLAR ALARM","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","A.D.T. INC.","OAK BROOK","IL","60523-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"588",,"20-22-406-024",,,,,,,,,,,,,,,,,
"1900497","100228836",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2008-03-21T00:00:00.000","2008-03-21T00:00:00.000","0","9040","S","BURLEY AVE",,"RECONNECT PUBLIC METER","40","0","0","40","0","0","0","0","0","40","0","0","0","0","0","40","CONTRACTOR-ELECTRICAL","MOLITE ELECTRIC","CHICAGO","IL","60643-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40",,"26-06-227-032",,,,,,,,,,"46","4608","10","1199205.378861528","1845441.9675777128",,,
"1909033","100233457",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2008-04-21T00:00:00.000","2008-04-21T00:00:00.000","0","6621","S","COTTAGE GROVE AVE",,"THIS IS A TEMP SERVICE FOR CONSTRUCTION PURPOSES ONLY.","150","0","0","150","0","0","0","0","0","150","0","0","0","0","0","150","CONTRACTOR-ELECTRICAL","M-SQUARED ELECTRIC","PARK FOREST","IL","60466-1404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1500",,,,,,,,,,,,"42","4208","5",,,,,
"1964375","100259888",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2008-09-29T00:00:00.000","2008-09-29T00:00:00.000","0","10000","N","BESSIE COLEMAN DR",,"FURNISH 110V RECEPTACLES FOR TV SCREENS","100","0","0","100","0","0","0","0","0","100","0","0","0","0","0","100","CONTRACTOR-ELECTRICAL","CITY SERVICE ELECTRIC INC.","ROLLING MEADOWS","IL","60008-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5000",,,,,,,,,,,,"76",,"41",,,,,
"2021324","100278648",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2009-02-20T00:00:00.000","2009-02-20T00:00:00.000","0","6616","S","COTTAGE GROVE AVE",,"INSTALLATION OF LOW VOLTAGE BURGLAR ALARM","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","A.D.T. INC.","OAK BROOK","IL","60523-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"275",,"20-22-231-026",,,,,,,,,,"42","4207","20",,,,,
"2034264","100284407",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2009-03-30T00:00:00.000","2009-03-30T00:00:00.000","0","10000","N","BESSIE COLEMAN DR",,"VIDEO DISPLAY SYSTEM INSTALLATION, O'HARE AIRPORT (03-8290)","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","ADVENT SYSTEMS, INC.",,"IL","60126-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15430",,,,,,,,,,,,"76",,"41",,,,,
"2128314","100323338",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2009-12-15T00:00:00.000","2010-03-31T00:00:00.000","106","10000","N","BESSIE COLEMAN DR",,"REPLACE 50 EXISTING LIGHT FIXTURES","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","POWER & LIGHTING SYSTEMS, INC.","SCHILLER PARK","IL","60176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35000",,,,,,,,,,,,"76",,"41",,,,,
"2174496","100345866",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2010-05-25T00:00:00.000","2010-05-25T00:00:00.000","0","151","E","VAN BUREN ST",,"INSTALL CARD VENDING MACHINE USING EXISTING 120 VOLT OUTLET IN VAN BUREN METRA STATION. DB JOB NO. C-7500.","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","DIVANE BROS. ELECTRIC CO.","FRANKLIN PARK","IL","60131-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"800",,,,,,,,,,,,,,,,,,,
"2218604","100369393",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2010-10-21T00:00:00.000","2010-10-22T00:00:00.000","1","2501","S","CALIFORNIA AVE",,"ELECTRICAL WIREING FOR CCTV","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","REX ELECT. & TECHNOLOGIES LLC","CHICAGO","IL","60606-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33000",,,,,,,,,,,,"30","3012","12",,,,,
"2247508","100381358",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2011-02-10T00:00:00.000","2011-02-14T00:00:00.000","4","810","E","51ST ST",,"INSTALL LOW VOLTAGE FIBER FOR CELL SITE","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","G.A.C. ELECTRIC, INC.","STEGER","IL","60475-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,"39","3904","4","1182581","1871372",,,
"2247893","100381565",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2011-02-14T00:00:00.000","2011-02-14T00:00:00.000","0","810","E","51ST ST",,"LOW VOLT/DATA/COM","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","G.A.C. ELECTRIC, INC.","STEGER","IL","60475-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2500",,,,,,,,,,,,"39","3904","4","1182581","1871372",,,
"2353094","100430952",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2012-03-08T00:00:00.000","2012-03-08T00:00:00.000","0","6136","S","MOODY AVE",,"100 AMP","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","ATOM ELECTRIC","CALUMET CITY","IL","60409-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1200",,"19-17-321-033",,,,,,,,,,"64","6403","23","1136424.468020178","1863041.216650736",,,
"2448087","100478516",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2013-02-20T00:00:00.000","2013-02-20T00:00:00.000","0","10000","W","OHARE ST",,"INSTALL CONDUIT AND WIRING FOR NEW HOT WATER HEATER","100","0","0","100","0","0","0","0","0","100","0","0","0","0","0","100","CONTRACTOR-ELECTRICAL","MZI ELECTRIC, INC.","CHICAGO","IL","60612-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2000",,,,,,,,,,,,"76","980000","41",,,,,
"2452185","100480536",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2013-03-07T00:00:00.000","2013-03-19T00:00:00.000","12","2324","N","FREMONT ST",,"APRIL, MAY AND JUNE MAINTENANCE","50","0","0","50","0","0","0","0","0","50","0","0","0","0","0","50","CONTRACTOR-ELECTRICAL","DEPAUL UNIVERSITY","CHICAGO","IL","60614-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"7","711","43",,,,,
"2516111","100515887",,,"PERMIT - ELECTRIC WIRING","EASY PERMIT WEB","2013-11-02T00:00:00.000","2013-11-04T00:00:00.000","2","5457","N","CLARK ST",,"INSTALL 6 CIRCUITS FOR EQUIPMENT","100","0","0","100","0","0","0","0","0","100","0","0","0","0","0","100","CONTRACTOR-ELECTRICAL","NEW FRONTIER ELECTRICAL CONSTR","JOLIET","IL","60432-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,"77","30800","48","1165075.1664256123","1936574.266503061",,,
