"tow_date","make","style","model","color","plate","state","towed_to_address","tow_facility_phone","inventory_number"
"2024-05-11T00:00:00.000","ACUR","4D",,"GRY","ECIZ85","CO","400 E. Lower Wacker","(312) 744-7550","0302729"
"2024-05-11T00:00:00.000","ACUR","LL",,"BLK","BG31496","IL","701 N. Sacramento","(773) 265-7605","7090514"
"2024-05-11T00:00:00.000","AUDI","4D",,"BLK","S484189","IN","701 N. Sacramento","(773) 265-7605","7090561"
"2024-05-11T00:00:00.000","AUDI","SW",,"BLU","CJ88918","IL","701 N. Sacramento","(773) 265-7605","7090563"
"2024-05-11T00:00:00.000","BMW","4D",,"WHI",,"IL","10300 S. Doty","(773) 568-8495","2969062"
"2024-05-11T00:00:00.000","BMW","LL",,"GRY","CT96306","IL","701 N. Sacramento","(773) 265-7605","7090531"
"2024-05-11T00:00:00.000","BMW","LL",,"BLK","EM23690","IL","10300 S. Doty","(773) 568-8495","2969052"
"2024-05-11T00:00:00.000","CADI","LL",,"TAN",,"IL","10300 S. Doty","(773) 568-8495","2969071"
"2024-05-11T00:00:00.000","CHEV","2D",,"RED","DV45392","IL","701 N. Sacramento","(773) 265-7605","7090590"
"2024-05-11T00:00:00.000","CHEV","4D",,"BRO","EL11404","IL","701 N. Sacramento","(773) 265-7605","7090540"
"2024-05-11T00:00:00.000","CHEV","4D",,"RED",,"IL","10300 S. Doty","(773) 568-8495","2969075"
"2024-05-11T00:00:00.000","CHEV","4D",,"BLK","BB98610","IL","10300 S. Doty","(773) 568-8495","2969082"
"2024-05-11T00:00:00.000","CHEV","4D",,"BGE","CD23694","IL","10300 S. Doty","(773) 568-8495","2969079"
"2024-05-11T00:00:00.000","CHEV","4D",,"GRY","EF35303","IL","10300 S. Doty","(773) 568-8495","2969066"
"2024-05-11T00:00:00.000","CHEV","4T",,"RED","ER69058","IL","701 N. Sacramento","(773) 265-7605","7090526"
"2024-05-11T00:00:00.000","CHEV","4T",,"BLK","DV88729","IL","701 N. Sacramento","(773) 265-7605","7090494"
"2024-05-11T00:00:00.000","CHEV","LD",,"SIL","EC76335","IL","701 N. Sacramento","(773) 265-7605","7090581"
