"zip_code","week_number","week_start","week_end","cases_weekly","cases_cumulative","case_rate_weekly","case_rate_cumulative","tests_weekly","tests_cumulative","test_rate_weekly","test_rate_cumulative","percent_tested_positive_weekly","percent_tested_positive_cumulative","deaths_weekly","deaths_cumulative","death_rate_weekly","death_rate_cumulative","population","row_id","zip_code_location"
"60615","12","2024-03-17T00:00:00.000","2024-03-23T00:00:00.000","4","10642","9.6","25604.5","0","0","0","0","0","0","0","81","0","194.9","41563","60615-2024-12","POINT (-87.602725 41.801993)"
"60615","8","2024-02-18T00:00:00.000","2024-02-24T00:00:00.000","11","10613","26.5","25534.7","0","0","0","0","0","0","0","81","0","194.9","41563","60615-2024-8","POINT (-87.602725 41.801993)"
"60622","31","2020-07-26T00:00:00.000","2020-08-01T00:00:00.000","28","877","53","1661.2","1329","13148","2517.4","24904.8","0.029","0.067","0","56","0","106.1","52793","60622-2020-31","POINT (-87.681818 41.902762)"
"60622","32","2020-08-02T00:00:00.000","2020-08-08T00:00:00.000","34","911","64.4","1725.6","1405","14553","2661.3","27566.2","0.028","0.063","0","56","0","106.1","52793","60622-2020-32","POINT (-87.681818 41.902762)"
"60622","33","2020-08-09T00:00:00.000","2020-08-15T00:00:00.000","41","952","77.7","1803.3","1542","16095","2920.8","30487","0.033","0.06","0","56","0","106.1","52793","60622-2020-33","POINT (-87.681818 41.902762)"
"60622","34","2020-08-16T00:00:00.000","2020-08-22T00:00:00.000","42","994","79.6","1882.8","1674","17769","3170.9","33657.9","0.03","0.057","0","56","0","106.1","52793","60622-2020-34","POINT (-87.681818 41.902762)"
"60622","35","2020-08-23T00:00:00.000","2020-08-29T00:00:00.000","45","1039","85.2","1968.1","1540","19309","2917.1","36574.9","0.028","0.055","0","56","0","106.1","52793","60622-2020-35","POINT (-87.681818 41.902762)"
"60622","36","2020-08-30T00:00:00.000","2020-09-05T00:00:00.000","29","1068","54.9","2023","1547","20856","2930.3","39505.2","0.022","0.053","0","56","0","106.1","52793","60622-2020-36","POINT (-87.681818 41.902762)"
"60622","37","2020-09-06T00:00:00.000","2020-09-12T00:00:00.000","46","1114","87.1","2110.1","1400","22256","2651.9","42157.1","0.034","0.051","0","56","0","106.1","52793","60622-2020-37","POINT (-87.681818 41.902762)"
"60622","39","2020-09-20T00:00:00.000","2020-09-26T00:00:00.000","63","1217","119.3","2305.2","1844","25763","3492.9","48800","0.038","0.049","0","56","0","106.1","52793","60622-2020-39","POINT (-87.681818 41.902762)"
"60622","40","2020-09-27T00:00:00.000","2020-10-03T00:00:00.000","45","1262","85.2","2390.5","1705","27468","3229.6","52029.6","0.029","0.047","0","56","0","106.1","52793","60622-2020-40","POINT (-87.681818 41.902762)"
"60622","43","2020-10-18T00:00:00.000","2020-10-24T00:00:00.000","166","1617","314.4","3062.9","2642","34626","5004.5","65588.2","0.064","0.048","0","56","0","106.1","52793","60622-2020-43","POINT (-87.681818 41.902762)"
"60615","5","2024-01-28T00:00:00.000","2024-02-03T00:00:00.000","14","10572","33.7","25436.1","0","0","0","0","0","0","0","79","0","190.1","41563","60615-2024-5","POINT (-87.602725 41.801993)"
"60622","44","2020-10-25T00:00:00.000","2020-10-31T00:00:00.000","196","1813","371.3","3434.2","2717","37343","5146.5","70734.8","0.077","0.05","0","56","0","106.1","52793","60622-2020-44","POINT (-87.681818 41.902762)"
"60622","45","2020-11-01T00:00:00.000","2020-11-07T00:00:00.000","341","2154","645.9","4080.1","3067","40410","5809.5","76544.2","0.116","0.055","1","57","1.9","108","52793","60622-2020-45","POINT (-87.681818 41.902762)"
"60622","46","2020-11-08T00:00:00.000","2020-11-14T00:00:00.000","310","2464","587.2","4667.3","3064","43474","5803.8","82348","0.109","0.059","1","58","1.9","109.9","52793","60622-2020-46","POINT (-87.681818 41.902762)"
"60622","47","2020-11-15T00:00:00.000","2020-11-21T00:00:00.000","230","2694","435.7","5102.9","3836","47310","7266.1","89614.2","0.077","0.061","1","59","1.9","111.8","52793","60622-2020-47","POINT (-87.681818 41.902762)"
"60622","48","2020-11-22T00:00:00.000","2020-11-28T00:00:00.000","174","2868","329.6","5432.5","2761","50071","5229.9","94844","0.079","0.062","2","61","3.8","115.5","52793","60622-2020-48","POINT (-87.681818 41.902762)"
"60622","49","2020-11-29T00:00:00.000","2020-12-05T00:00:00.000","231","3099","437.6","5870.1","2837","52908","5373.8","100217.8","0.09","0.063","3","64","5.7","121.2","52793","60622-2020-49","POINT (-87.681818 41.902762)"
"60622","50","2020-12-06T00:00:00.000","2020-12-12T00:00:00.000","201","3300","380.7","6250.8","2504","55412","4743.1","104960.9","0.09","0.064","2","66","3.8","125","52793","60622-2020-50","POINT (-87.681818 41.902762)"
"60622","51","2020-12-13T00:00:00.000","2020-12-19T00:00:00.000","144","3444","272.8","6523.6","3087","58499","5847.4","110808.3","0.058","0.064","0","66","0","125","52793","60622-2020-51","POINT (-87.681818 41.902762)"
"60609","5","2024-01-28T00:00:00.000","2024-02-03T00:00:00.000","20","18120","32.5","29465.8","0","0","0","0","0","0","0","234","0","380.5","61495","60609-2024-5","POINT (-87.653382 41.812017)"
"60622","52","2020-12-20T00:00:00.000","2020-12-26T00:00:00.000","127","3571","240.6","6764.2","2521","61020","4775.3","115583.5","0.058","0.064","0","66","0","125","52793","60622-2020-52","POINT (-87.681818 41.902762)"
"60622","53","2020-12-27T00:00:00.000","2021-01-02T00:00:00.000","191","3762","361.8","7125.9","2183","63203","4135","119718.5","0.093","0.065","0","66","0","125","52793","60622-2020-53","POINT (-87.681818 41.902762)"
"60622","1","2021-01-03T00:00:00.000","2021-01-09T00:00:00.000","200","3962","378.8","7504.8","2586","65789","4898.4","124616.9","0.081","0.065","2","68","3.8","128.8","52793","60622-2021-1","POINT (-87.681818 41.902762)"
"60622","11","2021-03-14T00:00:00.000","2021-03-20T00:00:00.000","80","4666","151.5","8838.3","2069","85923","3919.1","162754.5","0.041","0.059","0","75","0","142.1","52793","60622-2021-11","POINT (-87.681818 41.902762)"
"60622","12","2021-03-21T00:00:00.000","2021-03-27T00:00:00.000","116","4782","219.7","9058","2076","87999","3932.3","166686.9","0.054","0.059","0","75","0","142.1","52793","60622-2021-12","POINT (-87.681818 41.902762)"
"60610","41","2021-10-10T00:00:00.000","2021-10-16T00:00:00.000","28","4324","71.8","11081.8","2145","108215","5497.3","277339.2","0.014","0.042","0","35","0","89.7","39019","60610-2021-41","POINT (-87.63581 41.90455)"
"60622","15","2021-04-11T00:00:00.000","2021-04-17T00:00:00.000","81","5089","153.4","9639.5","1960","94152","3712.6","178341.8","0.047","0.059","1","76","1.9","144","52793","60622-2021-15","POINT (-87.681818 41.902762)"
"60622","16","2021-04-18T00:00:00.000","2021-04-24T00:00:00.000","59","5148","111.8","9751.3","1833","95985","3472.1","181813.9","0.038","0.058","0","76","0","144","52793","60622-2021-16","POINT (-87.681818 41.902762)"
"60622","17","2021-04-25T00:00:00.000","2021-05-01T00:00:00.000","54","5202","102.3","9853.6","1707","97692","3233.4","185047.3","0.037","0.058","1","77","1.9","145.9","52793","60622-2021-17","POINT (-87.681818 41.902762)"
"60622","18","2021-05-02T00:00:00.000","2021-05-08T00:00:00.000","37","5239","70.1","9923.7","1571","99263","2975.8","188023","0.027","0.058","1","78","1.9","147.7","52793","60622-2021-18","POINT (-87.681818 41.902762)"
